address, inValue, outValue, totalValue, inputTxNumber, outputTxNumber
19ZFpEPcdijxoBtPdfjts9MhwBcLx2C4Js,2996.4,0,2996.4,1,0
1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,1057.3,0,1057.3,1,0
1KKf4gkH8MfZ5bJFxbXJWvtErCz4zMkeQm,859.83,0,859.83,3,0
1FFDjtKS4fbnB4PwAcW9VMdcZu7RyZnrJj,797,70,727,2,1
167ZWTT8n6s4ya8cGjqNNQjDwDGY31vmHg,638.929,0,638.929,1,0
1DE7cRBnDque3CYqJw2cX4BzyJatRVKq3h,724.8,121.5,603.3,3,2
1MFA2FzeHgNRY5dGGiQtPxJx3LEKBit7UP,686.0566999999991,90,596.0566999999991,190,26
1B1wPLyrJ831sg1D8hnZLBG7SejXbqMMrH,541.3881839999997,0.00179,541.3863939999997,170,7
1PPdLQSYf6yCZzq2REHpVN7nvYxsRyvNYn,537.499785,0,537.499785,1,0
1JXFXUBGs2ZtEDAQMdZ3tkCKo38nT2XSEp,537.4562659999999,0,537.4562659999999,4,4
