address, inValue, outValue, totalValue, inputTxNumber, outputTxNumber
1Npv7jaqqSpY6zHk4cdXzA8AFQyAYKSMdh,3495,3055,440,1,1
1CMgkhVxRMSRCPTQTjgadcC5TgkoLxGiT9,3100.8750000000005,2810.045000000001,290.8299999999999,51,48
1HTUNHDdppSB3sRy72wpiWsgtkdgkcJ1pF,3054.389,3054.389,0,1,1
1Au8E6Ursr4zH8x4hpAKSCMyTMbWGAtMLy,3053.7780000000002,3053.7780000000002,0,1,1
1BxR4uXDZzgFbTsjceezZSBVvNChjgsve1,3053.167,3053.167,0,1,1
17FC81bQxkGTtg66Gz5aViXTry3tWhEHMY,3052.556,3052.556,0,1,1
1Q3oJC2VnooBa3GqjpiQTfCjQXBycGvsP5,3051.945,2997,54.945000000000164,1,1
19ZFpEPcdijxoBtPdfjts9MhwBcLx2C4Js,2996.4,0,2996.4,1,0
1CazSk3Xf9Dx6rdoPPX6WDCZi9nrP3TdL7,2927.505854,3335.879844,-408.3739899999997,6,7
1MM2Mzh9QEKVzr2j32CUfoAxDFC3a99tZf,2036.05,1990.5499999999997,45.499999999999986,20,19
